Metric,Value
Name,.\Experiments\Verification_16_eps0.0001_focus\vit_12_2_6_12_i4_r1_c4
Exp,vit_12_2_6_12_i4_r1_c4
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': True, 'MHA_WK_MC': True, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[-2.5744195  -0.56604606 -2.50451016  2.90947843  0.11418685 -0.04966092
 -6.36599493  8.96021748 -2.27574587  3.58937407]"
max purturb,7.990059858430905e-05
min purturb,0.0
TNN Out,"[-2.578288   -0.56365573 -2.5024961   2.90859392  0.11471433 -0.04975994
 -6.36853005  8.95910625 -2.27467666  3.58780686]"
Enc Seq Len,1
TNN Model Dims,12
TNN Head Dims,2
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200.0
Num Threads,0
Num Vars,7591
Num Constraints,7383
Num Cont Vars,7291
Num Int Vars,0
Num Bin Vars,300
Run Time (s),1391.3959999084473
Run Time (wu),2293.855492589216
Num Iters,9012727.0
Num Nodes Expl,12693.0
Num Solns,1
Opt Gap,9.946666745870587e-05
Obj Value,-9.522761980964248
RNR Obj Value,-9.521814783564999
RNR Iters,0
