Metric,Value
Name,.\Experiments\Verification_16_eps0.0001_focus\vit_12_1_6_12_i4_r1_c4
Exp,vit_12_1_6_12_i4_r1_c4
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': True, 'MHA_WK_MC': True, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[-4.38171577 -7.18336439  1.41231942  3.71045661 -0.07026628  0.23457998
 -9.22403908  8.5289793   0.30974787  2.51198077]"
max purturb,9.877333710272269e-05
min purturb,0.0
TNN Out,"[-4.38066312 -7.18195703  1.41254617  3.71072527 -0.07343727  0.23479333
 -9.22445832  8.52877005  0.31050765  2.50964973]"
Enc Seq Len,1
TNN Model Dims,12
TNN Head Dims,2
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200.0
Num Threads,0
Num Vars,4269
Num Constraints,3933
Num Cont Vars,4119
Num Int Vars,0
Num Bin Vars,150
Run Time (s),93.96500015258789
Run Time (wu),93.46911665246719
Num Iters,2056654.0
Num Nodes Expl,49835.0
Num Solns,1
Opt Gap,9.802293633375739e-05
Obj Value,-15.71072708001168
RNR Obj Value,-15.709187068411358
RNR Iters,0
